datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23
23.02.2025;Bundestagswahl;03101000;;111 Hondelage-Volkmarode;11;11;5685;2674;0;8359;7454;2582;35;7419;27;7427;2557;1771;2508;2372;766;1096;237;328;838;881;327;506;;61;;24;;29;85;54;;5;68;45;;8;7;2;;5;;240;;;;;;;;;26;;;;;
23.02.2025;Bundestagswahl;03101000;;112 Wabe-Schunter-Beberbach;21;21;10806;4997;2;15805;13720;4829;80;13640;56;13664;4628;3155;4007;3763;1690;2315;426;600;1726;1769;803;1143;;126;;33;;67;153;64;;26;152;116;;12;13;5;;15;;455;;;;;;;;;42;;;;;
23.02.2025;Bundestagswahl;03101000;;120 Östliches Ringgebiet;28;28;13200;7798;0;20998;18822;7539;90;18732;53;18769;6844;3969;3481;3209;4370;5582;529;733;1122;1174;1753;2907;;132;;38;;120;127;53;;31;374;280;;16;39;19;;11;;495;;;;;;;;;93;;;;;
23.02.2025;Bundestagswahl;03101000;;130 Mitte;28;28;13169;6285;0;19454;15758;6078;114;15644;73;15685;5123;3230;3408;3000;2732;3310;526;779;1652;1683;1628;2399;;143;;47;;118;146;61;;38;333;246;;16;24;2;;13;;600;;;;;;;;;72;;;;;
23.02.2025;Bundestagswahl;03101000;;211 Braunschweig-Süd;20;20;10881;4615;0;15496;13101;4460;107;12994;86;13015;4420;3251;3719;3470;1292;1753;377;528;1988;1987;836;1074;;140;;26;;64;147;75;;19;163;113;;13;13;5;;19;;478;;;;;;;;;39;;;;;
23.02.2025;Bundestagswahl;03101000;;212 Südstadt-Rautheim-Mascherode;14;14;7666;3177;0;10843;9492;3067;66;9426;51;9441;3242;2211;2779;2595;1175;1670;292;406;1185;1189;487;697;;119;;25;;40;105;50;;19;123;94;;3;14;6;;8;;309;;;;;;;;;24;;;;;
23.02.2025;Bundestagswahl;03101000;;221 Weststadt;18;18;12183;2809;0;14992;10591;2679;139;10452;132;10459;3226;2580;2365;2165;539;666;221;243;2948;2844;886;955;;124;;21;;35;115;57;;20;94;50;;3;12;3;;16;;677;;;;;;;;;46;;;;;
23.02.2025;Bundestagswahl;03101000;;222 Südwest;14;14;7064;2267;0;9331;7853;2168;60;7793;49;7804;2415;1815;2286;2122;633;810;237;299;1464;1480;514;630;;93;;24;;34;134;62;;14;75;54;;5;6;3;;7;;352;;;;;;;;;29;;;;;
23.02.2025;Bundestagswahl;03101000;;310 Westliches Ringgebiet;34;34;17508;7441;0;24949;19782;7125;162;19620;106;19676;6373;4078;3701;3314;3425;3907;552;714;2325;2357;2453;3490;;274;;37;;172;217;92;;44;454;305;;32;38;17;;23;;820;;;;;;;;;82;;;;;
23.02.2025;Bundestagswahl;03101000;;321 Lehndorf-Watenbüttel;22;22;11912;4673;0;16585;14500;4525;106;14394;76;14424;4808;3479;4330;3954;1750;2386;433;610;1913;1934;776;1036;;140;;32;;44;165;88;;14;142;92;;6;22;3;;16;;590;;;;;;;;;55;;;;;
23.02.2025;Bundestagswahl;03101000;;322 Nördliche Schunter-/Okeraue;13;13;6557;2554;0;9111;7694;2473;52;7642;40;7654;2322;1775;2391;2142;671;868;245;364;1326;1354;459;568;;87;;24;;28;83;48;;15;98;73;;7;16;3;;4;;294;;;;;;;;;31;;;;;
23.02.2025;Bundestagswahl;03101000;;330 Nordstadt-Schunteraue;33;33;14554;5881;0;20435;16635;5640;119;16516;83;16552;5595;3680;3183;2852;2941;3425;387;547;1985;1972;1738;2573;;222;;44;;120;194;95;;41;371;261;;24;46;19;;21;;656;;;;;;;;;76;;;;;

